season,direction,DUID,contribution_rows,total_abs_impact,mean_abs_impact,p95_abs_impact,total_tightening,total_relief,contraction_rows,reversal_rows,forced_rows,contraction_onsets,forced_onsets
Autumn,lower,AVLSF1,97,12273.305890064628,134.73194031146332,403.8397999999993,3932.1946184960016,8341.111271568627,55,6,13,13,2
Autumn,lower,BANGOWF1,97,5806.827720039796,27.056628708103293,356.0945426829268,3663.7349964027803,2143.0927236370158,55,6,13,13,2
Autumn,lower,BANGOWF2,97,5368.028714441702,24.950364329157708,245.66536422764233,3211.0132826542326,2157.015431787469,55,6,13,13,2
Autumn,lower,BERYLSF1,493,3399.670617764639,21.35585704096355,86.21159954471543,1321.48327833399,2078.1873394306485,110,29,13,31,2
Autumn,lower,BHB1,97,3285.9878048780492,9.713615576496675,200.609756097561,2327.0731707317073,958.9146341463415,55,6,13,13,2
Autumn,lower,BLOWERNG,97,0.0,0.0,0.0,0.0,0.0,55,6,13,13,2
Autumn,lower,BOCORWF1,97,4354.898274491743,28.98388185113643,152.83999634146338,2372.428988236363,1982.4692862553802,55,6,13,13,2
Autumn,lower,BODWF1,493,2261.4075339371016,9.719000269124454,38.98559999999999,1632.5599924686107,628.8475414684904,110,29,13,31,2
Autumn,lower,BOMENSF1,97,4301.879425720419,55.12527315972844,162.03878291869918,1091.6722701919641,3210.2071555284556,55,6,13,13,2
Autumn,lower,BROKENH1,97,3064.529194165418,31.384799376997428,127.85180731707317,492.60499538492985,2571.924198780488,55,6,13,13,2
Autumn,lower,BW01,643,2144.6334868132803,39.21570397555111,114.59242892682927,1317.634296235739,826.9991905775414,127,36,13,37,2
Autumn,lower,BW02,643,1838.0730408620614,19.359279579755476,76.2655870098039,945.6824044539661,892.3906364080951,127,36,13,37,2
Autumn,lower,BW03,602,6533.770780211191,36.72149141869372,154.0958073495935,4363.908069648586,2169.862710562605,114,30,13,34,2
Autumn,lower,BW04,602,6000.787873188167,43.78229823520686,119.68173216260163,4114.520453900828,1886.2674192873394,114,30,13,34,2
Autumn,lower,CAPBES1,97,227.07974653275943,11.537810856049736,177.25203252032514,227.07974653275943,0.0,55,6,13,13,2
Autumn,lower,CG1,493,0.0,0.0,0.0,0.0,0.0,110,29,13,31,2
Autumn,lower,CG2,493,884.6938790067326,0.6133956629210493,17.61009299999979,414.7498489345013,469.9440300722313,110,29,13,31,2
Autumn,lower,CG3,493,986.6674835362201,0.7704270175570613,17.694159633095566,471.9747136976619,514.6927698385582,110,29,13,31,2
Autumn,lower,CG4,493,908.9390454311438,0.6468382576568033,15.014265335235379,513.3458293101842,395.59321612095965,110,29,13,31,2
Autumn,lower,COLEASF1,97,7779.158079952864,62.77706842616659,236.73124028455263,2425.4398330016447,5353.718246951219,55,6,13,13,2
Autumn,lower,COLWF01,97,8368.183316898667,56.717409555487855,421.3382730589422,4913.152856551889,3455.030460346778,55,6,13,13,2
